KEY,SCHEMA,TABLE_NAME,TYPE,AUDIT_FOR_PI,BCTS_DEV_ROLE,BCTS_STAGE_ANALYST_ROLE,BCTS_STAGE_ANALYST_PI_ROLE,BCTS_ANALYST_ROLE,BCTS_ANALYST_PI_ROLE
1,BCTS_REPORTING,ANNUAL_DEVELOPED_VOLUME,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
2,BCTS_REPORTING,ANNUAL_DEVELOPED_VOLUME_HIST,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
3,BCTS_REPORTING,ANNUAL_DEVELOPMENT_READY,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
4,BCTS_REPORTING,ANNUAL_DEVELOPMENT_READY_HIST,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
5,BCTS_REPORTING,FORESTVIEW_V_ACTIVITY_COST,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
6,BCTS_REPORTING,FORESTVIEW_V_APPORTIONMENT,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
7,BCTS_REPORTING,FORESTVIEW_V_APPR_BRIDGE_TAB_COST,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
8,BCTS_REPORTING,FORESTVIEW_V_APPR_CULVERT_TAB_COST,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
9,BCTS_REPORTING,FORESTVIEW_V_APPR_INTERNAL_RATE,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
10,BCTS_REPORTING,FORESTVIEW_V_APPR_MINISTRY_RATE,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
11,BCTS_REPORTING,FORESTVIEW_V_APPR_ROAD_TAB_COST,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
12,BCTS_REPORTING,FORESTVIEW_V_ATTACHMENT,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
13,BCTS_REPORTING,FORESTVIEW_V_BLOCK,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
14,BCTS_REPORTING,FORESTVIEW_V_BLOCK_ACTIVITY_ALL,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
15,BCTS_REPORTING,FORESTVIEW_V_BLOCK_AREA,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
16,BCTS_REPORTING,FORESTVIEW_V_BLOCK_CRUISE,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
17,BCTS_REPORTING,FORESTVIEW_V_BLOCK_CRUISE_ALL_CONI_DECI,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
18,BCTS_REPORTING,FORESTVIEW_V_BLOCK_DEPLETION_STAGE,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
19,BCTS_REPORTING,FORESTVIEW_V_BLOCK_HARVEST_METHOD,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
20,BCTS_REPORTING,FORESTVIEW_V_BLOCK_HARVEST_STRATEGY,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
21,BCTS_REPORTING,FORESTVIEW_V_BLOCK_NMAR,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
22,BCTS_REPORTING,FORESTVIEW_V_BLOCK_OLD,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
23,BCTS_REPORTING,FORESTVIEW_V_BLOCK_SPATIAL,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
24,BCTS_REPORTING,FORESTVIEW_V_BLOCK_TASKS_ISSUE,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
25,BCTS_REPORTING,FORESTVIEW_V_BLOCK_TIMBER,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
26,BCTS_REPORTING,FORESTVIEW_V_COASTAL_COST_SURVEY_BH,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
27,BCTS_REPORTING,FORESTVIEW_V_COASTAL_COST_SURVEY_ROADS,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
28,BCTS_REPORTING,FORESTVIEW_V_COMMITMENTS,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
29,BCTS_REPORTING,FORESTVIEW_V_COMMIT_TRACKING_SALE_INFO,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
30,BCTS_REPORTING,FORESTVIEW_V_COST_SURVEY_BRIDGES,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
31,BCTS_REPORTING,FORESTVIEW_V_CP,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
32,BCTS_REPORTING,FORESTVIEW_V_DETAILED_SITE_ASSESSMENT,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
33,BCTS_REPORTING,FORESTVIEW_V_ECOLOGY,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
34,BCTS_REPORTING,FORESTVIEW_V_ECOLOGY_SITE_SERIES,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
35,BCTS_REPORTING,FORESTVIEW_V_EMS_ACTION_PLAN,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
36,BCTS_REPORTING,FORESTVIEW_V_EMS_ACTION_PLAN_DESCR,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
37,BCTS_REPORTING,FORESTVIEW_V_EMS_CONTRACT,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
38,BCTS_REPORTING,FORESTVIEW_V_EMS_INSPECTION,BASE TABLE,No PI,Read,Deny,Deny,Read,Deny
